country_code,country,indicator_code,indicator,year,value
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2010,6.80718476794211
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2011,7.40185065816131
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2012,7.58441651466929
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2013,7.89327631231478
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2014,7.93164331637339
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2015,7.79057049265868
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2016,7.76322483949301
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2017,7.87802652170332
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2018,8.2177362485386
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2019,8.39147587098516
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2020,8.47858302033874
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2021,8.88715660313235
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2022,8.86482511020235
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2023,9.23027553501428
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2000,10.5993032021746
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2001,10.7525841705381
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2002,10.546202837135
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2003,10.6369632865784
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2004,10.4632650583049
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2005,10.2067903422435
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2006,10.3846207212787
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2007,10.0478127320359
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2008,10.1072965484379
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2009,9.37864424258525
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2010,9.96567124737992
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2011,9.81776726131477
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2012,9.94745307113612
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2013,10.1408601249876
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2014,9.61630846170469
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2015,9.60884887243027
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2016,9.58423383867929
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2017,9.36976518940283
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2018,9.00657809367265
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2019,8.38218043063623
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2020,7.72103264767393
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2021,8.06128144646434
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2022,7.91182860265874
DEU,Germany,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2023,7.07982839106762
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2000,0.942309744278839
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2001,0.939789720011458
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2002,0.957620477500199
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2003,0.969744882653011
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2004,1.02822643182898
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2005,1.05460489385527
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2006,1.10810989189174
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2007,1.18862350046436
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2008,1.25815998206335
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2009,1.32284533301467
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2010,1.39129863287623
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2011,1.46337391608571
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2012,1.57607553513255
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2013,1.59945855716817
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2014,1.70517686000076
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2015,1.71550269097521
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2016,1.7202923565219
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2017,1.79545339877531
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2018,1.85989309419052
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2019,1.83688223212799
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2020,1.68040016064392
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2021,1.83702951699406
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2022,1.96929618962877
IND,India,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2023,2.09622858892568
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2000,9.80406329083986
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2001,9.67360734256659
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2002,9.92193416768018
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2003,9.95886797475689
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2004,9.91730575058116
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2005,10.0074734098753
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2006,9.82400472413847
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2007,10.0916024093562
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2008,9.53253711064086
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2009,9.03961045553586
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2010,9.50311626454283
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2011,9.93397401297005
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2012,10.2516011251361
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2013,10.3847926556554
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2014,10.0063625506773
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2015,9.69456115651128
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2016,9.66865261733136
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2017,9.55283290804272
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2018,9.17213648658239
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2019,8.87456666113888
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2020,8.39710520271501
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2021,8.5947828493867
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2022,8.3956307081074
JPN,Japan,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2023,8.05063579850566
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2000,21.0118753202743
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2001,20.6255077855762
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2002,19.9103793387111
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2003,19.9681657791826
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2004,20.0815597947275
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2005,19.9249914215479
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2006,19.4048177077015
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2007,19.4956606869752
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2008,18.7089026291301
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2009,17.1890632001903
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2010,17.847084306938
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2011,17.0203888981196
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2012,16.1854221004814
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2013,16.495975221911
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2014,16.4248953102317
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2015,15.9501022949136
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2016,15.5045482189269
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2017,15.1847127213968
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2018,15.5796456645972
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2019,15.0439662080505
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2020,13.4715821678248
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2021,14.3161154347115
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2022,14.4177148825165
USA,United States,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2023,13.7119419860139
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2000,655448188259.351
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2001,559983704094.17
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2002,509795270685.19
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2003,558233724164.711
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2004,669289321944.512
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2005,891633826625.407
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2006,1107626711163.23
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2007,1397114247188.89
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2008,1695855391757.96
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2009,1666996294252.12
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2010,2208838108484.35
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2011,2616156606579.21
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2012,2465228293706.86
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2013,2472819362043.74
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2014,2456043766032.38
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2015,1802211999456.42
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2016,1795693265999.04
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2017,2063514688805.78
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2018,1916933708352.71
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2019,1873288158838.63
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2020,1476107292151.95
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2021,1670647464062.96
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2022,1951923832083.87
BRA,Brazil,NY.GDP.MKTP.CD,GDP (current US$),2023,2191131869706.02
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2000,1223754919971.05
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2001,1355036590251.52
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2002,1489821682050.54
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2003,1683903309843.85
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2004,1984196551300.44
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2005,2317551298052.05
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2006,2791498472804.33
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2007,3604055822571.63
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2008,4667346414521.95
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2009,5189577094997.58
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2010,6192564874453.29
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2011,7671757207851.29
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2012,8673664713189.24
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2013,9743124247267.24
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2014,10674533168257.4
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2015,11280814787468.9
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2016,11456024084962
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2017,12537559062282.9
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2018,14147765772963.8
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2019,14560167101283.4
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2020,14996414166715.1
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2021,18201698719564
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2022,18316765021690.2
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2023,18270356654533.2
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2000,1966980701145.1
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2001,1966381496641.73
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2002,2102350798305.89
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2003,2534715518349.01
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2004,2852317768061.78
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2005,2893393187361.87
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2006,3046308753670.58
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2007,3484056680854.91
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2008,3808197720125
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2009,3478545516683.59
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2010,3467093769666.67
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2011,3823575803793.78
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2012,3596483233406.25
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2013,3807023797050.99
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2014,3964870735760.77
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2015,3425099578746.09
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2016,3536787895179
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2017,3765351626105.89
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2018,4055433215301.96
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2019,3959894794039.21
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2020,3941398957073.94
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2021,4355251953410.78
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2022,4201021706478.62
DEU,Germany,NY.GDP.MKTP.CD,GDP (current US$),2023,4562207532490.28
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2000,468395521654.458
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2001,485440139204.171
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2002,514939140318.756
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2003,607700687237.318
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2004,709152728830.775
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2005,820383763511.445
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2006,940259888787.721
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2007,1216736438834.96
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2008,1198895139005.92
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2009,1341888016994.9
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2010,1675615519484.96
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2011,1823051829894.55
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2012,1827637590410.41
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2013,1856721507621.58
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2014,2039126479154.52
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2015,2103588360044.94
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2016,2294796885663.16
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2017,2651474262755.45
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2018,2702929641648.74
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2019,2835606256558.19
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2020,2674851578587.27
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2021,3167270623260.47
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2022,3346107287730.93
IND,India,NY.GDP.MKTP.CD,GDP (current US$),2023,3638489096033.86
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2000,4968359075956.59
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2001,4374711694090.87
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2002,4182846045873.61
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2003,4519561645253.53
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2004,4893116005656.56
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2005,4831467035389.8
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2006,4601663122649.92
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2007,4579750920354.81
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2008,5106679115127.3
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2009,5289493117993.89
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2010,5759071769013.11
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2011,6233147172341.35
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2012,6272362996105.03
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2013,5212328181166.18
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2014,4896994405353.29
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2015,4444930651964.18
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2016,5003677627544.24
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2017,4930837369151.42
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2018,5040880939324.86
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2019,5117993853016.51
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2020,5054068005376.28
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2021,5039148168861.22
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2022,4262463317796.53
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2023,4213167237905.83
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2000,10250947997000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2001,10581929774000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2002,10929112955000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2003,11456442041000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2004,12217193198000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2005,13039199193000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2006,13815586948000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2007,14474226905000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2008,14769857911000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2009,14478064934000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2010,15048964444000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2011,15599728123000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2012,16253972230000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2013,16843190993000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2014,17550680174000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2015,18206020741000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2016,18695110842000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2017,19477336549000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2018,20533057312000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2019,21380976119000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2020,21060473613000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2021,23315080560000
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2022,25604848907611
USA,United States,NY.GDP.MKTP.CD,GDP (current US$),2023,27292170793214.4
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,3766.54786339835
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,3176.28975052524
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,2855.94017137049
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,3090.6068907839
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,3663.82262497811
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,4827.78165890291
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,5934.14561857454
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,7409.69003822861
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,8908.33338467948
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,8678.6584730653
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,11403.2840038694
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,13396.6263158041
BRA,Brazil,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,12521.7238454434
